scientific_name,common_name
Ortalis vetula,Plain Chachalaca
Glaucidium brasilianum,Ferruginous Pygmy-Owl
Micrastur semitorquatus,Collared Forest-Falcon
Psilorhinus morio,Brown Jay
Tityra semifasciata,Masked Tityra
Megarynchus pitangua,Boat-billed Flycatcher
Trogon melanocephalus,Black-headed Trogon
Saltator atriceps,Black-headed Saltator
Pheugopedius maculipectus,Spot-breasted Wren
Myiodynastes luteiventris,Sulphur-bellied Flycatcher
Cyclarhis gujanensis,Rufous-browed Peppershrike
Arremonops chloronotus,Green-backed Sparrow
Habia fuscicauda,Red-throated Ant-Tanager
Uropsila leucogastra,White-bellied Wren
Myiarchus tuberculifer,Dusky-capped Flycatcher
Buteo plagiatus,Gray Hawk
Pachysylvia decurtata,Lesser Greenlet
Myiozetetes similis,Social Flycatcher
Xiphorhynchus flavigaster,Ivory-billed Woodcreeper
Cyanocorax yncas,Green Jay
Pitangus sulphuratus,Great Kiskadee
Tyrannus couchii,Couch's Kingbird
Momotus lessonii,Lesson's Motmot
Eupsittula nana,Olive-throated Parakeet
Leptotila verreauxi,White-tipped Dove
Arremonops rufivirgatus,Olive Sparrow
Piaya cayana,Squirrel Cuckoo
Tolmomyias sulphurescens,Yellow-olive Flycatcher
Crypturellus cinnamomeus,Thicket Tinamou
Chlorestes candida,White-bellied Emerald
Rupornis magnirostris,Roadside Hawk
Herpetotheres cachinnans,Laughing Falcon
Amblycercus holosericeus,Yellow-billed Cacique
Attila spadiceus,Bright-rumped Attila
Melanerpes aurifrons,Golden-fronted Woodpecker
Catharus ustulatus,Swainson's Thrush
Megaceryle torquata,Ringed Kingfisher
Ardea herodias,Great Blue Heron
Pandion haliaetus,Osprey
Nyctidromus albicollis,Common Pauraque
Dryocopus lineatus,Lineated Woodpecker
Cyanocorax yucatanicus,Yucatan Jay
Myiarchus yucatanensis,Yucatan Flycatcher
Trogon caligatus,Gartered Trogon
Pteroglossus torquatus,Collared Aracari
Mniotilta varia,Black-and-white Warbler
Setophaga magnolia,Magnolia Warbler
